"company_key","company","source","source_job_id","title","location","apply_url","posted_at","description_raw","description_html","employment_type","remote_status","tags","routing_final_source_type","careers_url_final","clean_meta","synced_at"
"cm-0197","Flyability (Elios team)","workable","61A9B07559","Head of Product Management",,"https://apply.workable.com/j/61A9B07559","2026-04-02T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/flyability/","{""raw_index"":0,""dedupe_key"":""1|workable|61A9B07559"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0197","Flyability (Elios team)","workable","96D40D2B2A","Product and Content Marketing Intern",,"https://apply.workable.com/j/96D40D2B2A","2026-02-03T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/flyability/","{""raw_index"":1,""dedupe_key"":""1|workable|96D40D2B2A"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0197","Flyability (Elios team)","workable","4231EF5437","Repair Manager",,"https://apply.workable.com/j/4231EF5437","2026-02-24T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/flyability/","{""raw_index"":2,""dedupe_key"":""1|workable|4231EF5437"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0197","Flyability (Elios team)","workable","1EFDCF9037","Robotics Engineer - SLAM & State Estimation",,"https://apply.workable.com/j/1EFDCF9037","2026-03-24T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/flyability/","{""raw_index"":3,""dedupe_key"":""1|workable|1EFDCF9037"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0197","Flyability (Elios team)","workable","DBCB9323F9","Sales Representative - Brazil",,"https://apply.workable.com/j/DBCB9323F9","2026-03-12T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/flyability/","{""raw_index"":4,""dedupe_key"":""1|workable|DBCB9323F9"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0197","Flyability (Elios team)","workable","43B9C1BC05","Spontaneous application",,"https://apply.workable.com/j/43B9C1BC05","2023-02-24T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/flyability/","{""raw_index"":5,""dedupe_key"":""1|workable|43B9C1BC05"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0245","Manna Aero Delivery","workable","4C0519F26A","Embedded Engineer- Aircraft",,"https://apply.workable.com/j/4C0519F26A","2026-02-26T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/manna-1/","{""raw_index"":12,""dedupe_key"":""1|workable|4C0519F26A"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0245","Manna Aero Delivery","workable","844F361F95","Ground Operational Support - Cork",,"https://apply.workable.com/j/844F361F95","2026-02-22T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/manna-1/","{""raw_index"":13,""dedupe_key"":""1|workable|844F361F95"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0245","Manna Aero Delivery","workable","47338B6D52","Hardware Test Technician",,"https://apply.workable.com/j/47338B6D52","2026-03-30T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/manna-1/","{""raw_index"":14,""dedupe_key"":""1|workable|47338B6D52"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
"cm-0245","Manna Aero Delivery","workable","632F74F520","Lead Data Engineer - Data Platform",,"https://apply.workable.com/j/632F74F520","2026-04-01T00:00:00.000Z",,,,,"[]","ats_workable","https://apply.workable.com/manna-1/","{""raw_index"":15,""dedupe_key"":""1|workable|632F74F520"",""dedupe_tier"":1,""qa_flags"":[""missing_description"",""duplicate_group_survivor""],""excluded_from_clean"":false}","2026-04-11T10:24:49.097Z"
